frequenz;spitzeA;spitzeB;delta
100hz;1,507V;19,57;4,038ms
200hz;1,542;54,37;4,1ms
300hz;1,525;40,02;55탎
400hz;1,525;27,4;261탎
500hz;1,507;22,62;210탎
600hz;1,49;21,75;195탎
700hz;1,49;20,01;114탎
850hz;1,525;24,36;188탎
1khz;1,525;21,31;206탎
1.2khz;1,525;18,7;191탎
1,5khz;1,507;16,96;173탎
1,7khz;1,525;17,83;147탎
2khz;1,525;17,83;156탎
3khz;1,525;17,4;134탎
4khz;1,525;21,75;151탎
5khz;1,525;15,22;158탎
6khz;1,49;14,35;138탎
10khz;1525;13,48;44탎
;;;
Lautsprecher klein;;;
100hz;1,525;7,393;2,6ms
200hz;1,525;11,74;2,8ms
300hz;1,525;14,79;2,1ms
400hz;1,525;23,49;1,7ms
500hz;1,525;52,63;1,75ms
600hz;1,542;33,49;99탎
700hz;1,525;26,1;132탎
850hz;1,525;25,23;183탎
1khz;1,525;19,14;213탎
1.2khz;1,525;15,66;209,4탎
1,5khz;1,525;16,53;183탎
1,7khz;1,525;15,22;163탎
2khz;1,525;19,57;161탎
3khz;1,525;18,27;150탎
4khz;1,525;12,18;141탎
5khz;1,525;23,05;153탎
6khz;1,525;6,957;10탎
10khz;1,525;10,87;45탎
